Name,ViewCount,CurrentPosition,WeekStartDate
R. Kelly,8358747,78,20171019
$uicideboy$,8339361,79,20171019
Justin Bieber,8318871,80,20171019
Ayo & Teo,8277493,81,20171019
Ariana Grande,8209173,82,20171019
Skillet,8087438,83,20171019
P!nk,8013103,84,20171019
Metallica,8002426,85,20171019
Enrique Iglesias,7983764,86,20171019
Halsey,7973166,87,20171019
French Montana,7950389,88,20171019
Los Tucanes De Tijuana,7936434,89,20171019
Jenni Rivera,7857061,90,20171019
Pink Floyd,7838751,91,20171019
Melanie Martinez,7530979,92,20171019
Trippie Redd,7525408,93,20171019
Juan Gabriel,7392512,94,20171019
Coldplay,7385090,95,20171019
Travis Scott,7367683,96,20171019
Camila Cabello,7204152,97,20171019
Grupo Bryndis,7183735,98,20171019
Cuisillos de Arturo Macias,7159711,99,20171019
Rae Sremmurd,7137024,100,20171019
Los Temerarios,32753076,1,20171026
Future,31141245,2,20171026
Post Malone,29390117,3,20171026
Chris Brown,25438877,4,20171026
Gucci Mane,25406998,5,20171026
Taylor Swift,25095956,6,20171026
Young Thug,24587381,7,20171026
Lil Pump,24168151,8,20171026
Ed Sheeran,22956752,9,20171026
Los Caminantes,22302501,10,20171026
YoungBoy Never Broke Again,22227455,11,20171026
Eminem,21886268,12,20171026
Ozuna,21772819,13,20171026
Kodak Black,21485902,14,20171026
Cardi B,21016423,15,20171026
Imagine Dragons,20354373,16,20171026
Vicente Fernández,20216857,17,20171026
21 Savage,20063379,18,20171026
Lil Uzi Vert,19354368,19,20171026
Banda Sinaloense MS de Sergio Lizárraga,19146798,20,20171026
Kevin Gates,19082120,21,20171026
XXXTentacion,18531781,22,20171026
Michael Jackson,17188878,23,20171026
Los Tigres del Norte,16752287,24,20171026
A Boogie wit da Hoodie,16740327,25,20171026
Los Bukis,16407673,26,20171026
Bruno Mars,16221376,27,20171026
Young Dolph,16003637,28,20171026
Logic,15787029,29,20171026
Beyoncé,15472255,30,20171026
Joan Sebastian,15160152,31,20171026
Yo Gotti,15076839,32,20171026
